STT,"Ý định (Tên intent bắt buộc chỉ chứa các chữ cái thường, số và gạch chân)",DESCRIPTION,Mô tả
1,thietbi,Mở tài khoản trực tuyến cần thiết bị gì?,
2,thietbi,Thiết bị hỗ trợ mở tài khoản trực tuyến?,
3,thietbi,Trình duyệt hỗ trợ mở tải khoản trực tuyến?,
4,thietbi,Để mở tài khoản trực tuyến thì cần sử dụng trình duyệt nào?,
5,thietbi,Máy tôi dùng hệ điều hành Android có mở tài khoản trực tuyến được không?,
6,thietbi,Hệ điều hành nào hỗ trợ tôi mở tài khoản trực tuyến?,
7,thietbi,điện thoại window phone có đăng ký tài khoản trực tuyến được không,
8,thietbi,máy ios có đăng ký tài khoản trực tuyến được không,
9,thietbi,dùng trình duyệt để đăng ký tài khoản trực tuyến,
10,thietbi,Mở tài khoản trực tuyến trên trình duyệt,
11,thietbi,Cho tổi hỏi hệ điều hành nào hỗ trợ cài đặt app vậy,
12,thietbi,máy tôi không có cam thì có được không,
13,thietbi,máy tôi không có camera có mở được tài khoản trực tuyến không,
14,thietbi,định danh điện tử nên dùng thiết bị nào,
2,giay_to,giấy tờ tùy thân,
3,giay_to,giấy tờ tùy thân khỉ mở tài khoản trực tuyến là gì,
4,giay_to,cho tôi hỏi các loại giấy tờ cần thiết khi đăng ký trực tuyến,
5,giay_to,Để mở tài khoản trực tuyến cần sử dụng giấy tờ tuỳ thân nào?,
6,giay_to,định danh điện tử nên dùng loại giấy tờ nào,
7,giay_to,cho tôi biết giấy tờ cần thiết khi thực hiện định danh điện tử,
8,giay_to,các loại giấy tờ có thể dùng khi định danh điện tử,
9,giay_to,tôi có thể dùng giấy tờ gì để làm định danh điện tử,
10,giay_to,dùng giấy tờ gì để thực hiện định danh điện tử nhỉ,
11,giay_to,Định danh điện tử cần chuẩn bị giấy tờ tuỳ thân nào?,
12,giay_to,các loại giấy tờ có thể sử dụng khi định danh điện tử là gì,
13,giay_to,chứng minh nhân dân có dùng để mở tài khoản trực tuyến được không,
14,giay_to,mở tài khoản bằng Giấy chứng minh nhân dân,
15,giay_to,đăng ký tài khoản bằng Giấy chứng minh nhân dân,
16,giay_to,căn cước công dân có dùng để mở tài khoản trực tuyến được không,
17,giay_to,đăng ký tài khoản trực tuyến bằng Căn cước công dân gắn chip,
18,giay_to,đăng ký tài khoản bằng Căn cước công dân thẻ từ,
19,giay_to,"Tôi bị mất CMND rồi, tôi dùng hộ chiếu để mở tài khoản được không?",
20,giay_to,cmt,
21,giay_to,chứng minh thư,
22,giay_to,chứng min nhân dân,
23,giay_to,cmnd,
24,giay_to,cccd,
25,giay_to,căn chước công dân,
26,giay_to,căn cước công dânh,
27,giay_to,tôi dùng bằng lái xe để mở tài khoản được không?,
